Player Name,Runs,Balls Faced,4s,6s,Strike Rate,Opposition,Venue,Date
A Nehra,6*,10,1,0,60,v South Africa,Cape Town,18-Jan-11
Harbhajan Singh,23*,25,0,2,92,v South Africa,Cape Town,18-Jan-11
YK Pathan,59,50,6,3,118,v South Africa,Cape Town,18-Jan-11
SK Raina,37,47,4,0,78.72,v South Africa,Cape Town,18-Jan-11
V Kohli,28,41,5,0,68.29,v South Africa,Cape Town,18-Jan-11
RG Sharma,23,45,2,0,51.11,v South Africa,Cape Town,18-Jan-11
Yuvraj Singh,16,27,2,0,59.25,v South Africa,Cape Town,18-Jan-11
Z Khan,14,25,2,0,56,v South Africa,Cape Town,18-Jan-11
MS Dhoni,5,12,1,0,41.66,v South Africa,Cape Town,18-Jan-11
M Vijay,1,8,0,0,12.5,v South Africa,Cape Town,18-Jan-11
V Kohli,87*,92,7,2,94.56,v South Africa,Port Elizabeth,21-Jan-11
Harbhajan Singh,3*,8,0,0,37.5,v South Africa,Port Elizabeth,21-Jan-11
SK Raina,20,36,0,0,55.55,v South Africa,Port Elizabeth,21-Jan-11
Yuvraj Singh,12,20,1,1,60,v South Africa,Port Elizabeth,21-Jan-11
PA Patel,11,24,2,0,45.83,v South Africa,Port Elizabeth,21-Jan-11
MS Dhoni,2,8,0,0,25,v South Africa,Port Elizabeth,21-Jan-11
YK Pathan,2,3,0,0,66.66,v South Africa,Port Elizabeth,21-Jan-11
RG Sharma,1,6,0,0,16.66,v South Africa,Port Elizabeth,21-Jan-11
MM Patel,4*,9,0,0,44.44,v South Africa,Centurion,23-Jan-11
YK Pathan,105,70,8,8,150,v South Africa,Centurion,23-Jan-11
PA Patel,38,34,6,0,111.76,v South Africa,Centurion,23-Jan-11
Z Khan,24,58,3,0,41.37,v South Africa,Centurion,23-Jan-11
Harbhajan Singh,13,16,0,1,81.25,v South Africa,Centurion,23-Jan-11
SK Raina,11,8,2,0,137.5,v South Africa,Centurion,23-Jan-11
Yuvraj Singh,8,14,2,0,57.14,v South Africa,Centurion,23-Jan-11
PP Chawla,8,11,1,0,72.72,v South Africa,Centurion,23-Jan-11
RG Sharma,5,8,1,0,62.5,v South Africa,Centurion,23-Jan-11
MS Dhoni,5,10,1,0,50,v South Africa,Centurion,23-Jan-11
V Kohli,2,6,0,0,33.33,v South Africa,Centurion,23-Jan-11
MS Dhoni,46*,26,6,1,176.92,v Sri Lanka,Dhaka,13-Mar-12
SK Raina,30*,17,3,1,176.47,v Sri Lanka,Dhaka,13-Mar-12
V Kohli,108,120,7,0,90,v Sri Lanka,Dhaka,13-Mar-12
G Gambhir,100,118,7,0,84.74,v Sri Lanka,Dhaka,13-Mar-12
SR Tendulkar,6,19,1,0,31.57,v Sri Lanka,Dhaka,13-Mar-12
SK Raina,89*,79,9,1,112.65,v England,Mohali,23-Jan-13
RA Jadeja,21*,27,2,0,77.77,v England,Mohali,23-Jan-13
RG Sharma,83,93,11,1,89.24,v England,Mohali,23-Jan-13
V Kohli,26,33,3,0,78.78,v England,Mohali,23-Jan-13
MS Dhoni,19,21,2,0,90.47,v England,Mohali,23-Jan-13
G Gambhir,10,16,2,0,62.5,v England,Mohali,23-Jan-13
Yuvraj Singh,3,16,0,0,18.75,v England,Mohali,23-Jan-13
I Sharma,0*,0,0,0,-,v England,Dharamsala,27-Jan-13
SK Raina,83,98,8,2,84.69,v England,Dharamsala,27-Jan-13
