Player Name,Runs,Balls Faced,4s,6s,Strike Rate,Opposition,Venue,Date
SV Manjrekar,7*,20,0,0,35,v New Zealand,Auckland,27-Mar-94
M Azharuddin,12*,17,0,0,70.58,v New Zealand,Auckland,27-Mar-94
SR Tendulkar,82,49,15,2,167.34,v New Zealand,Auckland,27-Mar-94
VG Kambli,21,30,3,0,70,v New Zealand,Auckland,27-Mar-94
A Jadeja,18,25,3,0,72,v New Zealand,Auckland,27-Mar-94
NS Sidhu,71*,77,3,1,92.2,v New Zealand,Wellington,30-Mar-94
NR Mongia,3*,3,0,0,100,v New Zealand,Wellington,30-Mar-94
SR Tendulkar,63,75,9,0,84,v New Zealand,Wellington,30-Mar-94
A Jadeja,56,90,2,1,62.22,v New Zealand,Wellington,30-Mar-94
M Azharuddin,24,20,3,0,120,v New Zealand,Wellington,30-Mar-94
VG Kambli,23,33,0,0,69.69,v New Zealand,Wellington,30-Mar-94
N Kapil Dev,4,4,0,0,100,v New Zealand,Wellington,30-Mar-94
NR Mongia,40*,39,5,0,102.56,v New Zealand,Christchurch,2-Apr-94
A Kumble,18*,14,1,1,128.57,v New Zealand,Christchurch,2-Apr-94
A Jadeja,68,132,3,0,51.51,v New Zealand,Christchurch,2-Apr-94
SR Tendulkar,40,26,8,0,153.84,v New Zealand,Christchurch,2-Apr-94
VG Kambli,19,32,2,0,59.37,v New Zealand,Christchurch,2-Apr-94
N Kapil Dev,15,38,0,0,39.47,v New Zealand,Christchurch,2-Apr-94
NS Sidhu,9,11,1,0,81.81,v New Zealand,Christchurch,2-Apr-94
M Azharuddin,1,8,0,0,12.5,v New Zealand,Christchurch,2-Apr-94
VG Kambli,82*,66,4,3,124.24,v U.A.E.,Sharjah,13-Apr-94
NR Mongia,4*,7,0,0,57.14,v U.A.E.,Sharjah,13-Apr-94
M Azharuddin,81,99,4,2,81.81,v U.A.E.,Sharjah,13-Apr-94
SR Tendulkar,63,77,7,1,81.81,v U.A.E.,Sharjah,13-Apr-94
A Jadeja,25,37,2,0,67.56,v U.A.E.,Sharjah,13-Apr-94
AC Bedade,7,10,1,0,70,v U.A.E.,Sharjah,13-Apr-94
NS Sidhu,0,7,0,0,0,v U.A.E.,Sharjah,13-Apr-94
J Srinath,1*,2,0,0,50,v Pakistan,Sharjah,15-Apr-94
SR Tendulkar,73,64,10,3,114.06,v Pakistan,Sharjah,15-Apr-94
NS Sidhu,47,68,3,0,69.11,v Pakistan,Sharjah,15-Apr-94
M Azharuddin,29,34,2,1,85.29,v Pakistan,Sharjah,15-Apr-94
A Jadeja,19,45,2,0,42.22,v Pakistan,Sharjah,15-Apr-94
RK Chauhan,13,18,1,1,72.22,v Pakistan,Sharjah,15-Apr-94
A Kumble,6,13,0,0,46.15,v Pakistan,Sharjah,15-Apr-94
Bhupinder Singh snr,6,13,0,0,46.15,v Pakistan,Sharjah,15-Apr-94
NR Mongia,5,9,0,0,55.55,v Pakistan,Sharjah,15-Apr-94
VG Kambli,4,13,0,0,30.76,v Pakistan,Sharjah,15-Apr-94
AC Bedade,1,3,0,0,33.33,v Pakistan,Sharjah,15-Apr-94
M Azharuddin,36*,37,2,0,97.29,v Australia,Sharjah,19-Apr-94
VG Kambli,28*,17,3,2,164.7,v Australia,Sharjah,19-Apr-94
A Jadeja,87,106,12,1,82.07,v Australia,Sharjah,19-Apr-94
NS Sidhu,80,110,5,0,72.72,v Australia,Sharjah,19-Apr-94
SR Tendulkar,6,7,1,0,85.71,v Australia,Sharjah,19-Apr-94
