Player Name,Runs,Balls Faced,4s,6s,Strike Rate,Opposition,Venue,Date
Z Khan,11*,14,1,0,78.57,v New Zealand,Colombo (RPS),26-Jul-01
V Sehwag,33,54,3,0,61.11,v New Zealand,Colombo (RPS),26-Jul-01
Yuvraj Singh,28,51,3,0,54.9,v New Zealand,Colombo (RPS),26-Jul-01
R Dravid,27,57,1,0,47.36,v New Zealand,Colombo (RPS),26-Jul-01
RS Sodhi,9,13,1,0,69.23,v New Zealand,Colombo (RPS),26-Jul-01
HK Badani,6,10,1,0,60,v New Zealand,Colombo (RPS),26-Jul-01
Harbhajan Singh,6,16,0,0,37.5,v New Zealand,Colombo (RPS),26-Jul-01
SC Ganguly,4,8,1,0,50,v New Zealand,Colombo (RPS),26-Jul-01
A Nehra,2,14,0,0,14.28,v New Zealand,Colombo (RPS),26-Jul-01
VVS Laxman,1,2,0,0,50,v New Zealand,Colombo (RPS),26-Jul-01
SS Dighe,0,3,0,0,0,v New Zealand,Colombo (RPS),26-Jul-01
VVS Laxman,87*,127,10,0,68.5,v Sri Lanka,Colombo (RPS),28-Jul-01
HK Badani,11*,27,0,0,40.74,v Sri Lanka,Colombo (RPS),28-Jul-01
R Dravid,43,79,3,0,54.43,v Sri Lanka,Colombo (RPS),28-Jul-01
V Sehwag,27,41,5,0,65.85,v Sri Lanka,Colombo (RPS),28-Jul-01
AR Khurasiya,0,2,0,0,0,v Sri Lanka,Colombo (RPS),28-Jul-01
Yuvraj Singh,98*,110,6,1,89.09,v Sri Lanka,Colombo (SSC),1-Aug-01
Z Khan,3*,8,0,0,37.5,v Sri Lanka,Colombo (SSC),1-Aug-01
R Dravid,47,88,3,0,53.4,v Sri Lanka,Colombo (SSC),1-Aug-01
RS Sodhi,30,37,1,0,81.08,v Sri Lanka,Colombo (SSC),1-Aug-01
VVS Laxman,10,29,1,0,34.48,v Sri Lanka,Colombo (SSC),1-Aug-01
Harbhajan Singh,4,3,1,0,133.33,v Sri Lanka,Colombo (SSC),1-Aug-01
SS Dighe,3,3,0,0,100,v Sri Lanka,Colombo (SSC),1-Aug-01
HK Badani,2,11,0,0,18.18,v Sri Lanka,Colombo (SSC),1-Aug-01
V Sehwag,0,1,0,0,0,v Sri Lanka,Colombo (SSC),1-Aug-01
SC Ganguly,0,16,0,0,0,v Sri Lanka,Colombo (SSC),1-Aug-01
R Dravid,57*,56,6,0,101.78,v New Zealand,Colombo (SSC),2-Aug-01
HK Badani,35*,38,3,2,92.1,v New Zealand,Colombo (SSC),2-Aug-01
V Sehwag,100,70,19,1,142.85,v New Zealand,Colombo (SSC),2-Aug-01
SC Ganguly,64,103,7,0,62.13,v New Zealand,Colombo (SSC),2-Aug-01
VVS Laxman,0,9,0,0,0,v New Zealand,Colombo (SSC),2-Aug-01
A Nehra,2*,10,0,0,20,v Sri Lanka,Colombo (RPS),5-Aug-01
VVS Laxman,37,51,5,0,72.54,v Sri Lanka,Colombo (RPS),5-Aug-01
SS Dighe,23,63,0,0,36.5,v Sri Lanka,Colombo (RPS),5-Aug-01
HK Badani,22,38,1,1,57.89,v Sri Lanka,Colombo (RPS),5-Aug-01
